# ------------------------------------------------------------------------
# legendlabel: Fit Exponential
# ------------------------------------------------------------------------
# description: 
# m=0.9947261624102998, tau=756.4592123507574[ms]
# quantiles | tau [ms]| m:
#  0.125 |  680.716 | 0.99414106
#  0.250 |  712.979 | 0.99440545
#  0.400 |  729.066 | 0.99452855
#  0.500 |  741.483 | 0.99461993
#  0.600 |  755.537 | 0.99471974
#  0.750 |  776.636 | 0.99486282
#  0.875 |  799.758 | 0.99501097
# 
# fitrange: 1 <= k <= 2000[4.0ms]
# function: $A e^{-k/\tau}$
# 	with parameters:
# 		tau = 756.4592123507574
# 		A = 0.9774420518285808
# 
# 
# ------------------------------------------------------------------------
# legendlabel: Fit Exp+Offset
# ------------------------------------------------------------------------
# description: 
# m=0.9955035863304222, tau=887.5963626798155[ms]
# quantiles | tau [ms]| m:
#  0.125 |  764.529 | 0.99478168
#  0.250 |  808.792 | 0.99506656
#  0.400 |  838.838 | 0.99524285
#  0.500 |  873.897 | 0.99543326
#  0.600 |  899.974 | 0.99556529
#  0.750 |  937.225 | 0.99574118
#  0.875 |  975.053 | 0.99590606
# 
# fitrange: 1 <= k <= 2000[4.0ms]
# function: $A e^{-k/\tau} + O$
# 	with parameters:
# 		tau = 887.5963626798155
# 		A = 0.9780163283607306
# 		O = -0.03949606832707974
# 
# 
# ------------------------------------------------------------------------
# legendlabel: Fit Complex
# ------------------------------------------------------------------------
# description: 
# m=0.9955701957515302, tau=900.972957732371[ms]
# quantiles | tau [ms]| m:
# none
# fitrange: 1 <= k <= 2000[4.0ms]
# function: $A e^{-k/\tau} + B e^{-(k/\tau_{osc})^\gamma} \cos(2 \pi \nu k) + C e^{-(k/\tau_{gs})^2} + O$
# 	with parameters:
# 		tau = 900.972957732371
# 		A = 0.9655118987533148
# 		O = -0.04010437214270651
# 		tauosc = 41.606118701684174
# 		B = -0.3555458184092705
# 		gamma = 1.22448835233484
# 		nu = 0.005004532831813853
# 		taugs = 29.999999999999982
# 		C = 0.3577977358407852
# 
# 
# ------------------------------------------------------------------------
# Data
# ------------------------------------------------------------------------
# 1_steps[4ms]	2_coefficients	3_stderrs
9.600000000000000000e+01	5.933792604625585110e-01	2.835098847628060928e-02
9.700000000000000000e+01	5.906241261300257950e-01	2.855454717456420641e-02
9.800000000000000000e+01	5.871676716107829819e-01	2.873240436145717627e-02
9.900000000000000000e+01	5.843422715051290739e-01	2.886854115682149780e-02
1.000000000000000000e+02	5.817216598110318548e-01	2.890673489245509584e-02
1.010000000000000000e+02	5.785683782630983707e-01	2.912150720592574654e-02
1.020000000000000000e+02	5.755841672835384504e-01	2.942643410908017676e-02
1.030000000000000000e+02	5.729212186208983981e-01	2.931636774418746455e-02
1.040000000000000000e+02	5.700653011682903504e-01	2.955805236089657437e-02
1.050000000000000000e+02	5.672043494457219559e-01	2.974402564819795744e-02
1.060000000000000000e+02	5.643002092058178043e-01	3.006043646624918797e-02
1.070000000000000000e+02	5.615062710636841148e-01	3.007812919341508809e-02
1.080000000000000000e+02	5.590754405916520398e-01	3.023640336035414433e-02
1.090000000000000000e+02	5.558506717319132706e-01	3.030975557768299591e-02
1.100000000000000000e+02	5.531689165979873923e-01	3.057404448244067582e-02
1.110000000000000000e+02	5.505628688691628358e-01	3.064111266803856357e-02
1.120000000000000000e+02	5.476303837280896980e-01	3.080518346744002059e-02
1.130000000000000000e+02	5.446762289866731166e-01	3.098970221574258790e-02
1.140000000000000000e+02	5.421238991083887626e-01	3.104290473002419698e-02
1.150000000000000000e+02	5.393092223348368019e-01	3.118748123410350695e-02
1.160000000000000000e+02	5.368342078398673500e-01	3.134628543587237443e-02
1.170000000000000000e+02	5.336674174126986303e-01	3.158221958094792337e-02
1.180000000000000000e+02	5.311588995002907154e-01	3.181347895687102606e-02
1.190000000000000000e+02	5.282004965531257312e-01	3.200448534037348552e-02
1.200000000000000000e+02	5.255271769911750157e-01	3.217799391441784895e-02
1.210000000000000000e+02	5.231775164151485358e-01	3.230221526870660081e-02
1.220000000000000000e+02	5.203722896081944826e-01	3.235506630915175458e-02
1.230000000000000000e+02	5.178380553841439582e-01	3.258205546231482397e-02
1.240000000000000000e+02	5.154515679055551303e-01	3.249998807959897373e-02
1.250000000000000000e+02	5.125502375515427200e-01	3.287668982228264536e-02
1.260000000000000000e+02	5.103572132156872776e-01	3.296343182159918589e-02
1.270000000000000000e+02	5.075062300516670621e-01	3.321902264919122244e-02
1.280000000000000000e+02	5.051754543903420602e-01	3.336938680179379890e-02
1.290000000000000000e+02	5.023751380874952321e-01	3.362973880845393504e-02
1.300000000000000000e+02	5.001867015567469377e-01	3.360094057465240480e-02
1.310000000000000000e+02	4.975737044439553780e-01	3.391902119461946002e-02
1.320000000000000000e+02	4.945766777261462188e-01	3.404692815639419334e-02
1.330000000000000000e+02	4.920093791912612535e-01	3.432192882573722320e-02
1.340000000000000000e+02	4.896268781179889951e-01	3.445997484566729052e-02
1.350000000000000000e+02	4.866930704499874416e-01	3.467644218601426132e-02
1.360000000000000000e+02	4.844588298529063919e-01	3.479432778269941212e-02
1.370000000000000000e+02	4.819294295755718882e-01	3.499989074881829088e-02
1.380000000000000000e+02	4.794500049447471546e-01	3.516736337455493577e-02
1.390000000000000000e+02	4.769164279859549604e-01	3.529386049135009584e-02
1.400000000000000000e+02	4.748175572059124550e-01	3.544328472489122889e-02
1.410000000000000000e+02	4.722051078887872233e-01	3.569981372606979841e-02
1.420000000000000000e+02	4.697927246766828158e-01	3.576785855908924672e-02
1.430000000000000000e+02	4.672521250916590319e-01	3.598660695874685012e-02
1.440000000000000000e+02	4.652699118189121408e-01	3.598656677747530397e-02
1.450000000000000000e+02	4.628000653055424074e-01	3.621992665489125185e-02
1.460000000000000000e+02	4.601424368681771848e-01	3.630982028607081247e-02
1.470000000000000000e+02	4.576462613994750628e-01	3.652158602885866717e-02
1.480000000000000000e+02	4.554415655818280229e-01	3.652481830021635928e-02
1.490000000000000000e+02	4.533144609261272051e-01	3.684269300358088833e-02
1.500000000000000000e+02	4.509916840605204813e-01	3.691690580853605047e-02
1.510000000000000000e+02	4.482510516924200772e-01	3.727245744355046214e-02
1.520000000000000000e+02	4.464146524316528475e-01	3.737449421901641727e-02
1.530000000000000000e+02	4.436319498778154569e-01	3.757607228637719482e-02
1.540000000000000000e+02	4.411798660649544623e-01	3.766892826907352471e-02
1.550000000000000000e+02	4.391612765529445128e-01	3.781830241770530593e-02
1.560000000000000000e+02	4.368390789622069725e-01	3.802335854749844257e-02
1.570000000000000000e+02	4.345894586050575437e-01	3.812698525024185714e-02
1.580000000000000000e+02	4.322167039573611147e-01	3.825952765961260216e-02
1.590000000000000000e+02	4.301233270557178190e-01	3.836448039466795051e-02
1.600000000000000000e+02	4.278274621607472405e-01	3.853056850117023840e-02
1.610000000000000000e+02	4.255256796021151255e-01	3.857530083141099547e-02
1.620000000000000000e+02	4.229011695640682578e-01	3.879755065342468251e-02
1.630000000000000000e+02	4.210522337464183695e-01	3.890860683407154630e-02
1.640000000000000000e+02	4.189847326977281794e-01	3.889639364486321277e-02
1.650000000000000000e+02	4.167071922501728309e-01	3.910441079004596532e-02
1.660000000000000000e+02	4.142441147360084175e-01	3.914791035100213118e-02
1.670000000000000000e+02	4.118167865697427432e-01	3.925915183386863988e-02
1.680000000000000000e+02	4.097309020263976143e-01	3.930841338872510804e-02
1.690000000000000000e+02	4.069647995971730770e-01	3.938258408098295471e-02
1.700000000000000000e+02	4.048762019456555450e-01	3.949225720238246085e-02
1.710000000000000000e+02	4.025943677760098760e-01	3.960638230764624429e-02
1.720000000000000000e+02	4.002107315078201055e-01	3.953173488190071805e-02
1.730000000000000000e+02	3.981581522432088849e-01	3.971338868481847501e-02
1.740000000000000000e+02	3.960071533321306014e-01	3.965377403691708325e-02
1.750000000000000000e+02	3.935116011172669626e-01	3.966067234259132435e-02
1.760000000000000000e+02	3.917046107690570489e-01	3.956074248977070607e-02
1.770000000000000000e+02	3.895439505432260474e-01	3.961330142602271370e-02
1.780000000000000000e+02	3.875308326176178930e-01	3.948340141218968646e-02
1.790000000000000000e+02	3.851930588281915480e-01	3.936596445765043473e-02
1.800000000000000000e+02	3.833585771469019687e-01	3.936929053871740525e-02
1.810000000000000000e+02	3.812100991070460076e-01	3.936147345477348375e-02
1.820000000000000000e+02	3.788850966785445307e-01	3.934819998712020539e-02
1.830000000000000000e+02	3.765259622744741019e-01	3.929959762995810513e-02
1.840000000000000000e+02	3.743375813353057024e-01	3.933307746566088586e-02
1.850000000000000000e+02	3.718644400213264034e-01	3.927788475442765825e-02
1.860000000000000000e+02	3.701701120862795902e-01	3.911713683834570909e-02
1.870000000000000000e+02	3.681168591965973125e-01	3.918043076054938956e-02
1.880000000000000000e+02	3.660065881243385610e-01	3.898863994854971649e-02
1.890000000000000000e+02	3.633888112454559116e-01	3.905009269175647307e-02
1.900000000000000000e+02	3.617507599921139794e-01	3.903743498272797124e-02
1.910000000000000000e+02	3.597422051924653585e-01	3.903756319440498945e-02
1.920000000000000000e+02	3.576204769337615885e-01	3.880310847106040878e-02
1.930000000000000000e+02	3.554311201917813023e-01	3.879354193981458809e-02
1.940000000000000000e+02	3.535082575825186368e-01	3.864985884327708232e-02
1.950000000000000000e+02	3.517784536270625595e-01	3.846257457807199936e-02
1.960000000000000000e+02	3.496240197793687443e-01	3.846910569243539718e-02
1.970000000000000000e+02	3.476228776479043381e-01	3.840483048255280418e-02
1.980000000000000000e+02	3.456365776899924525e-01	3.841387766958180572e-02
1.990000000000000000e+02	3.436582852508041630e-01	3.825206486772454034e-02
2.000000000000000000e+02	3.418791658053700333e-01	3.816728451591614585e-02
2.010000000000000000e+02	3.397505100772195141e-01	3.805618667420066631e-02
2.020000000000000000e+02	3.378351376696854258e-01	3.813733990196011697e-02
2.030000000000000000e+02	3.358775071789559807e-01	3.795837144881630126e-02
2.040000000000000000e+02	3.339991556111703286e-01	3.781916089321123858e-02
2.050000000000000000e+02	3.320982021746571311e-01	3.775558911247310634e-02
2.060000000000000000e+02	3.307859675172349911e-01	3.775540085347095509e-02
2.070000000000000000e+02	3.284972930081780929e-01	3.771405471094165657e-02
2.080000000000000000e+02	3.265896447902982835e-01	3.770621646995972465e-02
2.090000000000000000e+02	3.247653011566891679e-01	3.767779443428730113e-02
2.100000000000000000e+02	3.227243699209410566e-01	3.764218919230543497e-02
2.110000000000000000e+02	3.209091322146879199e-01	3.771739004023793446e-02
2.120000000000000000e+02	3.190454080191613695e-01	3.773610332146053875e-02
2.130000000000000000e+02	3.174044373274692576e-01	3.767735988224268223e-02
2.140000000000000000e+02	3.156380780422378129e-01	3.759755268761853786e-02
2.150000000000000000e+02	3.142280091438363621e-01	3.754916827446386218e-02
2.160000000000000000e+02	3.122498224170514591e-01	3.775940919434270931e-02
2.170000000000000000e+02	3.103412797217789398e-01	3.773074913671713160e-02
2.180000000000000000e+02	3.083535526332757959e-01	3.769006893731636360e-02
2.190000000000000000e+02	3.066759304670930164e-01	3.776167891615998112e-02
2.200000000000000000e+02	3.052994268575912606e-01	3.773047834405233308e-02
2.210000000000000000e+02	3.034181405926198449e-01	3.779777388450279024e-02
2.220000000000000000e+02	3.015657225716381618e-01	3.774142008468899662e-02
2.230000000000000000e+02	3.000460657090399108e-01	3.778381719773742098e-02
2.240000000000000000e+02	2.987596323432061829e-01	3.773024967737710622e-02
2.250000000000000000e+02	2.967672894635671188e-01	3.760530407358942534e-02
2.260000000000000000e+02	2.953104950808939089e-01	3.756170648281480229e-02
2.270000000000000000e+02	2.939240525710196117e-01	3.758280661334307410e-02
2.280000000000000000e+02	2.922060008753124549e-01	3.775971798987302896e-02
2.290000000000000000e+02	2.903232188363454314e-01	3.772242033265549993e-02
2.300000000000000000e+02	2.888522299220160350e-01	3.764736931760626765e-02
2.310000000000000000e+02	2.877608009754508700e-01	3.758686980256449595e-02
2.320000000000000000e+02	2.861716693508102316e-01	3.753948243460109024e-02
2.330000000000000000e+02	2.846794963445041238e-01	3.761212899971231455e-02
2.340000000000000000e+02	2.830280586380607422e-01	3.740521842543409470e-02
2.350000000000000000e+02	2.818887337341742794e-01	3.748274242985984162e-02
2.360000000000000000e+02	2.804292355881732313e-01	3.745080060869460103e-02
2.370000000000000000e+02	2.785717493285845836e-01	3.741376221517686562e-02
2.380000000000000000e+02	2.778650129243477873e-01	3.725223894486491549e-02
2.390000000000000000e+02	2.762679086289033803e-01	3.721793327856511013e-02
2.400000000000000000e+02	2.749592883373240260e-01	3.712483459177622763e-02
2.410000000000000000e+02	2.733117683173668655e-01	3.705168073126455935e-02
2.420000000000000000e+02	2.717834741531206522e-01	3.705907298344246481e-02
2.430000000000000000e+02	2.704578462924613347e-01	3.686089712324762402e-02
2.440000000000000000e+02	2.694445559640989418e-01	3.674546818995616526e-02
2.450000000000000000e+02	2.677870691239985224e-01	3.668982629043606586e-02
2.460000000000000000e+02	2.664998737384678407e-01	3.664685127697683842e-02
2.470000000000000000e+02	2.652634691804453548e-01	3.640593036561697721e-02
2.480000000000000000e+02	2.641364287164479907e-01	3.641804499935142464e-02
2.490000000000000000e+02	2.623688585990094357e-01	3.614139299924563203e-02
2.500000000000000000e+02	2.614487510738476850e-01	3.599334309341589710e-02
2.510000000000000000e+02	2.601550663577358313e-01	3.592704444254837121e-02
2.520000000000000000e+02	2.589194570281961316e-01	3.572425595840069551e-02
2.530000000000000000e+02	2.575611101074642972e-01	3.571864332887030730e-02
2.540000000000000000e+02	2.568349703574736576e-01	3.546293135109482991e-02
2.550000000000000000e+02	2.550485125074545834e-01	3.533802785217974446e-02
2.560000000000000000e+02	2.540184614675614627e-01	3.531419388674103543e-02
2.570000000000000000e+02	2.520954773163883167e-01	3.526078084616813407e-02
2.580000000000000000e+02	2.509013498089328054e-01	3.511804016087294311e-02
2.590000000000000000e+02	2.496558235944645876e-01	3.497313997205860059e-02
2.600000000000000000e+02	2.480397928104480509e-01	3.496580524447916866e-02
2.610000000000000000e+02	2.474292176846301927e-01	3.475321139326250502e-02
2.620000000000000000e+02	2.456038740735472237e-01	3.471544984670145439e-02
2.630000000000000000e+02	2.446394137418224368e-01	3.460372701552270891e-02
2.640000000000000000e+02	2.434451965879531055e-01	3.457128158627262998e-02
2.650000000000000000e+02	2.419390282065091990e-01	3.441345497178008306e-02
2.660000000000000000e+02	2.410119200842316400e-01	3.429463293645324679e-02
