# legendlabel: $A e^{-k/\tau}$
# description: 
# m=0.9938337072239355, tau=646.6859173971507[ms]
# fitrange: 1 <= k <= 5000[4.0ms]
# function: $A e^{-k/\tau}$
# 	with parameters:
# 		tau = 646.6859173971507
# 		A = 0.9692993494176645
# 
# legendlabel: $A e^{-k/\tau} + O$
# description: 
# m=0.994261478039535, tau=695.0416806050425[ms]
# fitrange: 1 <= k <= 2999[4.0ms]
# function: $A e^{-k/\tau} + O$
# 	with parameters:
# 		tau = 695.0416806050425
# 		A = 0.9901016772895169
# 		O = -0.024830960041080253
# 
# 1_steps[4.0ms]	2_coefficients	3_stderrs	4_coefficients	5_stderrs
1.930000000000000000e+02	3.335517529080674337e-01	3.803847667191588566e-02	nan	nan
1.940000000000000000e+02	3.320449340547432793e-01	3.781983783152240847e-02	nan	nan
1.950000000000000000e+02	3.300134175967615602e-01	3.776370012188005193e-02	nan	nan
1.960000000000000000e+02	3.284195384120876526e-01	3.766909904787463237e-02	nan	nan
1.970000000000000000e+02	3.264805534229585637e-01	3.752712615562692894e-02	nan	nan
1.980000000000000000e+02	3.248306041901521390e-01	3.740532224386615423e-02	nan	nan
1.990000000000000000e+02	3.227506311625032431e-01	3.743873113063615754e-02	nan	nan
2.000000000000000000e+02	3.210424071727263629e-01	3.731997639083212137e-02	nan	nan
2.010000000000000000e+02	3.193396192557675928e-01	3.729977100804265921e-02	3.348593573985018113e-01	3.869334192707019060e-02
2.020000000000000000e+02	3.173574265920819371e-01	3.712880977402310823e-02	nan	nan
2.030000000000000000e+02	3.158953469214083598e-01	3.706926807564523557e-02	nan	nan
2.040000000000000000e+02	3.137945713399887815e-01	3.695040651475780397e-02	nan	nan
2.050000000000000000e+02	3.119881891015532926e-01	3.690623096462746638e-02	nan	nan
2.060000000000000000e+02	3.104408226841391949e-01	3.659678002783538220e-02	nan	nan
2.070000000000000000e+02	3.084867883154969737e-01	3.661185914590005946e-02	nan	nan
2.080000000000000000e+02	3.068065066665922602e-01	3.652614531050724089e-02	nan	nan
2.090000000000000000e+02	3.047377737304658996e-01	3.654408465095938807e-02	nan	nan
2.100000000000000000e+02	3.030055851129928590e-01	3.654334527870368998e-02	nan	nan
2.110000000000000000e+02	3.011115086697163656e-01	3.650190080551476285e-02	nan	nan
2.120000000000000000e+02	2.992487162061479022e-01	3.640956743134901585e-02	nan	nan
2.130000000000000000e+02	2.970337566714665867e-01	3.627483711217004136e-02	nan	nan
2.140000000000000000e+02	2.951137984526835956e-01	3.627062792639184491e-02	nan	nan
2.150000000000000000e+02	2.934171863989688545e-01	3.610568040679442564e-02	nan	nan
2.160000000000000000e+02	2.915395628147935958e-01	3.593102670504489532e-02	nan	nan
2.170000000000000000e+02	2.899351270806322378e-01	3.579557511618290666e-02	nan	nan
2.180000000000000000e+02	2.877452637597161522e-01	3.584341704724881145e-02	nan	nan
2.190000000000000000e+02	2.857198808093520670e-01	3.568041648850450026e-02	nan	nan
2.200000000000000000e+02	2.836871397595796540e-01	3.572415327166163224e-02	nan	nan
2.210000000000000000e+02	2.827322975052105614e-01	3.548492705584167795e-02	nan	nan
2.220000000000000000e+02	2.806338615363137556e-01	3.562751659494684670e-02	nan	nan
2.230000000000000000e+02	2.789470946038462573e-01	3.542346405264146236e-02	nan	nan
2.240000000000000000e+02	2.770313146415868677e-01	3.542946341329000076e-02	nan	nan
2.250000000000000000e+02	2.752684303424043355e-01	3.529845663132961942e-02	nan	nan
2.260000000000000000e+02	2.731729971722279271e-01	3.517554625731073026e-02	nan	nan
2.270000000000000000e+02	2.712304578144127398e-01	3.508502285110388919e-02	nan	nan
2.280000000000000000e+02	2.694861554681418081e-01	3.494255577889346376e-02	nan	nan
2.290000000000000000e+02	2.678353280718340779e-01	3.487245874900823245e-02	nan	nan
2.300000000000000000e+02	2.661793851020256008e-01	3.463087493178832604e-02	nan	nan
2.310000000000000000e+02	2.645615039525889278e-01	3.462210149307853868e-02	nan	nan
2.320000000000000000e+02	2.622309517797195566e-01	3.459788306720043560e-02	nan	nan
